nohup: ignoring input
[1] order5big_0003: THEOREM (60.2s)  running={'THEOREM': 1}
[157] order5big_1251: THEOREM (4.0s)  running={'THEOREM': 67, 'LINEAR': 85, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[158] order5big_1259: LINEAR (0.0s)  running={'THEOREM': 67, 'LINEAR': 86, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[159] order5big_1267: LINEAR (0.0s)  running={'THEOREM': 67, 'LINEAR': 87, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[160] order5big_1275: THEOREM (60.4s)  running={'THEOREM': 68, 'LINEAR': 87, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[161] order5big_1283: LINEAR (0.0s)  running={'THEOREM': 68, 'LINEAR': 88, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[162] order5big_1291: LINEAR (0.0s)  running={'THEOREM': 68, 'LINEAR': 89, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[163] order5big_1299: THEOREM (60.2s)  running={'THEOREM': 69, 'LINEAR': 89, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[164] order5big_1307: THEOREM (60.7s)  running={'THEOREM': 70, 'LINEAR': 89, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[165] order5big_1315: LINEAR (0.0s)  running={'THEOREM': 70, 'LINEAR': 90, 'SOLVED_FMB': 4, 'HARD_NONLINEAR': 1}
[166] order5big_1323: SOLVED_FMB (15.6s)  running={'THEOREM': 70, 'LINEAR': 90, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 1}
[167] order5big_1331: LINEAR (0.0s)  running={'THEOREM': 70, 'LINEAR': 91, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 1}
[168] order5big_1339: THEOREM (60.6s)  running={'THEOREM': 71, 'LINEAR': 91, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 1}
[169] order5big_1347: THEOREM (60.4s)  running={'THEOREM': 72, 'LINEAR': 91, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 1}
[170] order5big_1355: LINEAR (0.0s)  running={'THEOREM': 72, 'LINEAR': 92, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 1}
[171] order5big_1363: THEOREM (60.4s)  running={'THEOREM': 73, 'LINEAR': 92, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 1}
[172] order5big_1371: LINEAR (0.0s)  running={'THEOREM': 73, 'LINEAR': 93, 'SOLVED_FMB': 5, 'HARD_NONLINEAR': 1}
[173] order5big_1379: SOLVED_FMB (0.1s)  running={'THEOREM': 73, 'LINEAR': 93, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[174] order5big_1387: THEOREM (60.6s)  running={'THEOREM': 74, 'LINEAR': 93, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[175] order5big_1395: THEOREM (60.2s)  running={'THEOREM': 75, 'LINEAR': 93, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[176] order5big_1403: THEOREM (60.2s)  running={'THEOREM': 76, 'LINEAR': 93, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[177] order5big_1411: THEOREM (60.2s)  running={'THEOREM': 77, 'LINEAR': 93, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[178] order5big_1419: THEOREM (60.2s)  running={'THEOREM': 78, 'LINEAR': 93, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[179] order5big_1427: THEOREM (60.3s)  running={'THEOREM': 79, 'LINEAR': 93, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[180] order5big_1435: LINEAR (0.0s)  running={'THEOREM': 79, 'LINEAR': 94, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[181] order5big_1443: THEOREM (60.5s)  running={'THEOREM': 80, 'LINEAR': 94, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[182] order5big_1451: LINEAR (0.0s)  running={'THEOREM': 80, 'LINEAR': 95, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[183] order5big_1459: LINEAR (0.0s)  running={'THEOREM': 80, 'LINEAR': 96, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[184] order5big_1467: LINEAR (0.0s)  running={'THEOREM': 80, 'LINEAR': 97, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
[185] order5big_1475: LINEAR (0.0s)  running={'THEOREM': 80, 'LINEAR': 98, 'SOLVED_FMB': 6, 'HARD_NONLINEAR': 1}
