nohup: ignoring input
[1] order5big_0001: LINEAR (0.0s)  running={'LINEAR': 1}
[126] order5big_1001: LINEAR (0.0s)  running={'LINEAR': 69, 'THEOREM': 52, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[127] order5big_1009: THEOREM (60.2s)  running={'LINEAR': 69, 'THEOREM': 53, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 4}
[128] order5big_1017: SOLVED_FMB (8.0s)  running={'LINEAR': 69, 'THEOREM': 53, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[129] order5big_1025: LINEAR (0.0s)  running={'LINEAR': 70, 'THEOREM': 53, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[130] order5big_1033: THEOREM (60.2s)  running={'LINEAR': 70, 'THEOREM': 54, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[131] order5big_1041: THEOREM (60.2s)  running={'LINEAR': 70, 'THEOREM': 55, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[132] order5big_1049: THEOREM (62.7s)  running={'LINEAR': 70, 'THEOREM': 56, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[133] order5big_1057: LINEAR (0.0s)  running={'LINEAR': 71, 'THEOREM': 56, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[134] order5big_1065: LINEAR (0.0s)  running={'LINEAR': 72, 'THEOREM': 56, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[135] order5big_1073: THEOREM (62.1s)  running={'LINEAR': 72, 'THEOREM': 57, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[136] order5big_1081: LINEAR (0.0s)  running={'LINEAR': 73, 'THEOREM': 57, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[137] order5big_1089: LINEAR (0.0s)  running={'LINEAR': 74, 'THEOREM': 57, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[138] order5big_1097: LINEAR (0.0s)  running={'LINEAR': 75, 'THEOREM': 57, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[139] order5big_1105: THEOREM (60.2s)  running={'LINEAR': 75, 'THEOREM': 58, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 5}
[140] order5big_1113: SOLVED_FMB (1.5s)  running={'LINEAR': 75, 'THEOREM': 58, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 6}
[141] order5big_1121: LINEAR (0.0s)  running={'LINEAR': 76, 'THEOREM': 58, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 6}
[142] order5big_1129: LINEAR (0.0s)  running={'LINEAR': 77, 'THEOREM': 58, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 6}
[143] order5big_1137: THEOREM (60.2s)  running={'LINEAR': 77, 'THEOREM': 59, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 6}
[144] order5big_1145: SOLVED_FMB (2.1s)  running={'LINEAR': 77, 'THEOREM': 59, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 7}
[145] order5big_1153: THEOREM (29.6s)  running={'LINEAR': 77, 'THEOREM': 60, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 7}
[146] order5big_1161: SOLVED_FMB (0.1s)  running={'LINEAR': 77, 'THEOREM': 60, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
[147] order5big_1169: LINEAR (0.0s)  running={'LINEAR': 78, 'THEOREM': 60, 'HARD_NONLINEAR': 1, 'SOLVED_FMB': 8}
